"idAbstract","Title","fullAbstract","classification","attentionTest","taskCode"
"11","In the know- desired skills for entry-level systems analyst positions","The undergraduate information systems curriculum seeks to prepare students for entry-level information technology positions. In this study, which is part of an ongoing research program aiming to better align the information systems curriculum with employer needs, the desired skills for entry-level systems analyst, business analyst, and project manager positions are identified based on interviews with information technology professionals. As technology continues to change, it is important to understand the changing needs of employers in this area. Based on the interviews, two categories of desired skills can be defined – soft skills and hard skills. Soft skills are comprised of intrapersonal and interpersonal skills, and hard skills are comprised of domain knowledge and technical skills. A discussion of the findings in light of previous work and directions for future research are provided.","Included","Somewhat Agree","EIA15862"
"12","Industry expectations of soft skills in IT graduates: a regional survey","Representatives of the Information Technology (IT) industry periodically question the work-readiness of university educated IT graduates. Academics typically interpret such challenges as calls to teach currently fashionable technologies. Strong demand for IT skills in Wellington, New Zealand's capital, during the past few years has resulted in this being a major area of debate. This research sought to get past the competing claims by examining job advertisements, conducting interviews and focus groups research and found that industry representatives are in fact less concerned about technical skills than 'soft' skills needed for team based, customer focused, business environments. Industry tends to seek base-level technical skills and make recruitment decisions on more personal qualities, leaving detailed training to on-the-job. Key soft skills sought by IT employers are identified to help tertiary educators clarify industry priorities.","Included","Strongly Agree","JAE13581"
"13","Industry's perception of the relevance of software development education","It is widely acknowledged that there is a shortage of software developers, not only in South Africa, but also worldwide. Despite reports, in mostly quantitative studies, of a gap between the industry needs and software development education, the view the industry has of the new graduates and the problems, challenges and solutions in respect of software development education has not been explored in detail. This article reports on a mixed methods study of the relevance of software development education from the perspective of the industry. The analysis reveals some interesting views held by the industry, as well as by the different generations on their new recruits and the problems and challenges that are faced. The following solutions to the problems are suggested: teamwork; projects and experience; work-integrated-learning and mentoring; technical and soft skills; keeping up to date; career guidance; introspection; and generational awareness.","Included","Strongly Agree","YEU135813"
"14","Investigating the skill gap between graduating students and industry expectations","Graduating computer science and software engineering students do not always possess the necessary skills, abilities, or knowledge when beginning their careers in the software industry. The lack of these skills and abilities can limit the productivity of newly hired, recent graduates, or even prevent them from gaining employment. This paper presents the results of an empirical study where twenty-three managers and hiring personnel from various software companies in the United States and Europe were interviewed. Participants were asked about areas where recent graduates frequently struggled when beginning employment at their companies and which skill deficiencies might prevent a recent graduate from being hired. The results of this study indicate that recent graduates struggle with using configuration management systems (and other software tools), effectively communicating with co-workers and customers, producing unit tests for their code, and other skills or abilities. The results also indicate that a lack of project experience and problem solving abilities are the most commonly cited issues preventing students from gaining employment. This research is intended to assist educators in identifying areas where students may not measure up the expectations of industry companies and in improving the curriculum at their universities to better prepare them for their future careers.","Included","Somewhat Agree","HAE69531"
"15","IT Program Curriculum Recommendations Based on a Survey of Knowledge and Skill Requirements for Entry-Level IT Workers","This paper provides an updated view of the importance of various skills and traits for entry-level IT workers as perceived by the IT industry based on a web-based survey administered to IT managers nationwide. The survey consists of 47 skills and traits that include personal and interpersonal skills, as well as technical skills. This study finds that the top 12 skills and traits are personal and interpersonal skills with honesty and integrity ranked most highly. The top 5 technical skills are operating systems, security, hardware, networking, and database, which have been part of the IT core for many years. The noticeable change in technical skills is the low ranking of programming. Based on the analysis of the survey, several ideas for curriculum recommendations for IT-related programs are provided. ","Included","Strongly disagree","JAN69742"
"16","Knowledge and Skill Requirements for Entry-Level Information Technology Workers- do employers in the it industry view these differently than employers in other industries","In order to determine how to prepare graduates in IT-related degree programs for entry-level\njobs, employers in various industries were surveyed to determine whether there are differences in\nskills and knowledge requirements across industries. The results of the survey are reported and\nanalyzed. Based on the findings of the survey, advising and curriculum recommendations are\nmade.","Included","Neither agree nor disagree","OUY35811"
"17","Knowledge and skill requirements for IT graduates","This study examines the knowledge and skills required of entry-level IT workers as perceived by nearly 600 IT managers and workers from across the United States. In keeping with previous studies, the findings suggest that personal and interpersonal skills are the top rated skills with technical skills following closely behind. Organizational knowledge, particularly knowledge of primary business functions, is important, but less important for entry-level works than technical skills. The findings also suggest that possessing relevant work experience is more important for graduates seeking entry-level positions than a having a high GPA. Implications of the findings for curriculum design, student advisement and job placement are discussed.","Included","Strongly Agree","MEL163932"
"18","Knowledge and Skills Requirements for Software Developer Students","It is widely acknowledged that there is a shortage of software developers, not only in South Africa, but also worldwide. Despite reports on a gap between industry needs and software education, the gap has mostly been explored in quantitative studies. This paper reports on the qualitative data of a mixed method study of the perceptions of professional software developers regarding what topics they learned from their formal education and the importance of these topics to their actual work. The analysis suggests that there is a gap between industry’s needs and software development education and the following recommendations are made: 1) Real-life projects must be included in students’ education; 2) Soft skills and business skills must be included in curricula; 3) Universities must keep the curriculum up to date; 4) Software development education must be made accessible to a diverse range of students.","Included","Somewhat Agree","IES136813"
"19","Missed Expectations: Where CS Students Fall Short in the Software Industry","Graduating computer science students do not always possess the necessary knowledge to succeed in their careers after graduation. Interviews with twenty-three managers and hiring personnel at different companies in the software development industry highlight the struggles that recent graduates face when first starting at those companies. Recent graduates lack essential skills in different areas to pass an interview. Descriptions are provided about these different areas along with recommendations for educators, industry managers, and recent graduates.","Included","Strongly Agree","KAN63916"
"20","Priorities for the education and training of software engineers","We present the complete results of our 1998 survey of software practitioners. In this survey we asked over 200 software de- velopers and managers from around the world what they thought about 75 educational topics. For each topic, we asked them how  much they had learned about it in their formal education, how much they know about it now and how important the topic has been  in their career. The objective of the survey was to provide data that can be used to improve the education and training of infor- mation technology workers. The results suggest that some widely taught topics perhaps should be taught less, while coverage of  other topics should be increased.","Included","Somewhat disagree","MEN681386"
"21","Reducing the gap between software engineering curricula and software industry in Jordan","Nowadays software is taking a very important role in almost all aspects of our daily lives which gave great importance to the study field of Software Engineering. However, most of the current Software Engineering graduates in Jordan lack the required knowledge and skills to join software industry because of many reasons. This research investigates these reasons by firstly analyzing more than 1000 software job listings in Jordanian and Gulf area e-recruitment services in order to discover the skills and knowledge areas that are mostly required by software industry in Jordan and the Gulf area, and secondly comparing these knowledge areas and skills with those provided by the Software Engineering curricula at the Jordanian Universities. The awareness of the Software Engineering students and academic staff of the concluded mostly required knowledge areas and skills is measured using two questionnaires. Recommendations to decrease the gap between Software Engineering academia and industry had also been taken from a sample of software companies’ manager using a third questionnaire. The results of this research revealed that many important skills such as Web applications development are very poorly covered by Software engineering curricula and that many Software engineering students and academic staffs are not aware about many of the mostly needed skills to join industry.","Included","Strongly disagree","LAL136386"
"22","Requirements Engineering: a close look at industry needs and a model curricula","Research endeavours in software development have found that failures and deficiencies of software systems are often rooted in the requirements activities undertaken. One possible cause for poor requirements activities is the appropriateness of the education of those engaged with the requirements component of software development. This education is largely based on model curricula used as guidelines. This paper summarises the results of a study of the requirements component of model curricula in the disciplines of computer science, information systems and software engineering. The requirements components are compared to the opinions of a small but representative group of practitioners, assembled through personal interviews. The results reveal that the model curricula address to a high degree the expectations practitioners have of the formal education in preparing for requirements activities. However, the results also show that practitioners see shortcomings in formal education, particularly with respect to more generic skills, such as communication and team skills. ","Included","Strongly Agree","JAE369368"
"23","Software: University Courses versus Workplace Practice","There is a shortage of software developers with the right skills and knowledge, not only in South Africa but worldwide. Despite reports of a gap between industry needs and software education, the gap has mostly been explored in developed countries and in quantitative studies. This paper reports on a mixed methods study of the perceptions of professional software developers regarding what topics they learned from their formal education and the importance of these topics to their actual work. The analysis suggests that there is a gap between software development education and workplace practice and recommendations for software development education are made.","Included","Somewhat disagree","LOL358119"
"24","Struggles of New College Graduates in their First Software Development Job","How do new college graduates experience their first software development jobs? In what ways are they prepared by their educational experiences, and in what ways do they struggle to be  productive in their new positions? We report on a “fly-on-the- wall” observational study of eight recent college graduates in  their first six months of a software development position at Microsoft Corporation. After a total of 85 hours of on-the-job observation, we report on the common abilities evidenced by new software developers including how to program, how to write design specifications, and evidence of persistence strategies for problem-solving. We also classify some of the common ways new software developers were observed getting stuck: communication, collaboration, technical, cognition, and orientation. We report on some common misconceptions of new developers which often frustrate them and hinder them in their jobs, and conclude with recommendations to align Computer Science curricula with the observed needs of new professional developers.","Included","Strongly disagree","EJA36183"
"25","The Relevance of Software Development Education for Students","Despite a widely-acknowledged shortage of software  developers, and reports of a gap between industry needs and soft- ware education, the possible gap between students' needs and soft- ware development education has not been explored in detail. In  their university education, students want to take courses and carry out projects that clearly relate to their lives and their goals. This paper reports on a quantitative study of 297 software development  students. The analysis of the results suggests that software devel- opment education has a predominantly social relevance to students  and also has moderate personal and professional relevance. The following approaches are recommended to improve students' views of the relevance of software development education: use various learning environments; pay special attention to female students, students who did not have IT as a school subject, and students who rate their own academic performance as low; update educators on the latest developments; design programs to appeal to students and to meet societal demands.","Included","Somewhat Agree","MEA136813"
"26","The relevance of software education: A survey and some recommendations","We summarize the results of a survey of software practitioners in which we asked about the relevance of their education. We analyze the data and highlight potential changes to computer science or software engineering curricula, based on mismatches between the extent to which the topic is taught and its importance in the careers of the participants. We also present some advice to companies regarding topics in which they should train employees; we compare this advice to a list of skills that employers have indicated they wish employees to possess.","Included","Strongly Agree","EMA36813"
"27","What the job market wants from requirements engineers?: an empirical analysis of online job ads from the Netherlands","Recently, the requirements engineering (RE) community recognized the increasing need for understanding how industry perceives the jobs of requirements engineers and their most important qualifications. This study contributes to the community’s research effort on this topic. Based on an analysis of RE job ads in 2015 from the Netherlands’ three most popular online IT-job portals, we identified those task and skill related qualifications that employers demand from RE job seekers. We found that the job titles used in industry for the specialists that the RE community calls ‘requirements engineers’, are ‘Product Owner’ and ‘Analyst’, be it Information Analyst, Application Analyst, or Data Analyst. Those professionals supposed to perform RE tasks also take responsibility for additional tasks including quality assurance, realization and deployment, and project management. The most in-demand skills are soft skills: proficiency in Dutch and English, plus communication and analytical skills. RE is perceived as an occupation for experts, with 23% of all job ads asking explicitly for RE experience and 63% asking for experience similar to RE.","Included","Somewhat disagree","MR5342"
"28","Achieving industrial relevance in software engineering education","This paper presents a collection of experience related to success factors in graduate and postgraduate education. The experiences are mainly concerned with how to make the education relevant from an industrial viewpoint. This is emphasized as a key issue in software engineering education and research, since the main objective is to give the students a good basis for large-scale software development in an industrial environment. The presentation is divided into experiences at the graduate and postgraduate levels respectively. For each level a number of strategies to achieve industrial relevance are presented. These strategies have been successful, but it is concluded that more can be done regarding industrial collaboration in the planning and conduction of experiments and case studies. Another interesting strategy for the future is a special postgraduate programme for people employed in industry.","Excluded","Neither agree nor disagree","AME24125"
"29","Analysis of Skills Requirement for Entry-Level Programmer/ Analysts in Fortune 500 Corporations","This paper presents the most up-to-date skill requirements for programmer/analyst, one of the most demanded entry-level job titles in the Information Systems (IS) field. In the past, several researchers studied job skills for IS professionals, but few have focused especially on ""programmer/analyst."" The authors conducted an extensive empirical study on programmer/analyst skill requirements by collecting and analyzing 837 job ads posted on Fortune 500 corporate websites for three years. The results indicate that the programmer/analysts in the Fortune 500 are expected to fulfill a combination of roles from computer program writers to technical experts as well as businessmen. The results of this study are discussed in terms of their implications for the IS 2002 curriculum model.","Excluded","Strongly Agree","OEO1693"
"30","An industry/university collaboration to upgrade software engineering knowledge and skills in industry","This paper describes an ongoing collaboration between Boeing Australia Limited and the University of Queensland to develop and deliver an introductory course on software engineering. The aims of the course are to provide a common understanding of the nature of software engineering for all Boeing Australia's engineering staff, and to ensure they understand the practices used throughout the company. The course is designed so that it can be presented to people with varying backgrounds, such as recent software engineering graduates, systems engineers, quality assurance personnel, etc. The paper describes the structure and content of the course, and the evaluation techniques used to collect feedback from the participants and the corresponding results. The immediate feedback on the course indicates that it has been well received by the participants, but also indicates a need for more advanced courses in specific areas. The long-term feedback from participants is less positive, and the long-term feedback from the managers of the course participants indicates a need to expand on the coverage of the Boeing-specific processes and methods.","Excluded","Somewhat Agree","MEA6426"
"31","Analyzing the strength of undergraduate misconceptions about software engineering.","While many computer science students plan to pursue careers as software engineers, research shows that most traditional undergraduate CS programs fail to prepare students for the realities of programming in industry. Many misconceptions that are interfering with the transition to industry are belief-oriented, not skill-oriented, in nature, so traditional misconception assessments will not yield a deep understanding of them. In this paper we present a novel methodology that shows interactions among the misconceptions based on a forced choice paradigm and reveals the relative strength of the misconceptions. By analyzing students' repeated responses and response times, we construct a model of participants' misconceptions. We used this methodology to assess CS undergraduates at Carnegie Mellon University and compared their results to those from industry practitioners at several highly regarded companies. The results show that the students have misconceptions about process and teamwork. Surprisingly, we found that several misconceptions are correlated with elective courses that we expected to weaken misconceptions about software engineering but instead appeared to strengthen them.","Excluded","Strongly Agree","FAE39613"
"32","Assessing alignment between information technology educational opportunities, professional requirements, and industry demands","Information technology (IT) and computing are growing fields, offering far more job opportunities than applicants. Yet, little data are available to indicate how course content, employer needs, and additional learning opportunities work together the prepare graduates to enter the IT workforce. To understand the extent to which learners were prepared to for these highly technical careers, we used text analysis to examine the extent to which course syllabi, job postings, internship postings, and industry certifications from information technology preparation programs at state college and two universities commonly reflected national IT curriculum knowledge areas. Integrated data suggested that while the two-year and four-year programs imparted key technical skills, to qualify employers sought applied, or Bsoft,^ skills such as critical thinking, problem solving, teamwork, and written and verbal communication. These soft skills were more difficult to detect as learning outcomes, but the determination of the extent to which the examined programs foster these skills presents a fertile area for subsequent research.","Excluded","Neither agree nor disagree","IBI36166"
"33","Collaborating with industry: strategies for an undergraduate software engineering program","Software engineering is prominent in the collection of undergraduate disciplines that benefit most from experiential learning. Despite an exhaustive classroom and laboratory curriculum, the obtainment of program outcomes cannot be achieved without the opportunity for the student to be exposed to commercial grade software development. Even the most complex academic software engineering exercise falls short in capturing the project dynamics of building a real world software application. The Software Engineering Department at the Rochester Institute of Technology initiated the first undergraduate degree program of its kind in the United States in 1996, graduating its first class in 2001 and was among the first to receive ABET accreditation in 2002. To address the outcomes of the program and expectations of industry, the Software Engineering Department has developed a set of related strategies that provides students and faculty the opportunity to actively collaborate with the commercial software development sector. This paper will discuss how the department has positioned itself to meet the challenges of collaborating with industry by incorporating cooperative education, commercially sponsored senior capstone projects and the development of research partnerships. ","Excluded","Somewhat disagree","OEA36136"
"34","Computer science students making games: a study on skill gaps and requirement","Computer science (CS) is a field of practical and scientific approach on computation and applications. Consequently, the CS students should be able to adjust to develop different types of software applications. However, even though video games are one type of software, they also impose additional requirements for the developers. In this paper we present the results of our qualitative studies on how prepared CS students are to function as game developers. The paper assesses the knowledge gaps between students majoring in computer science and game developer needs in two ways; a longitudinal study on a game development course and a focused case study on developing a game. Based on our results there are differences in communication and planning approaches between the CS students and game developers, and skill needs for game development content on a traditional computer science course curricula.","Excluded","Strongly disagree","QWE5193"
"35","Defining the expectation gap: a comparison of industry needs and existing game development curriculum","When developing a game curriculum, one of several key areas to consider is the type of skills needed by the game industry. The purpose of this quantitative survey research is to compare the hiring needs of industry for recent college graduates seeking game developer positions against game development curriculum currently available at post-secondary institutions. One survey was given to industry participants and a similar survey was given to academic participants. Four major categories, abilities, technical skills, supporting knowledge areas, and contextual fluency, each had specific subcategories that were rated by both industry and academia. A t-test of independent means was then used to analyze to determine if there is an expectation gap between the game industry needs and academic program curriculum. This paper details the results of the surveys and provides a limited discussion on how these results might impact game developer curriculum.","Excluded","Neither agree nor disagree","IES93813"
"36","Developing a software engineering curriculum for the emerging software industry in China","China currently has one of the world's fastest growing software industries. However the demand for skilled software engineers is currently outstripping supply. Educational institutes are the primary provider of software engineers. Not only can China's educational institutes not meet the demands of software engineers in terms of quantity, the quality of software engineering graduates at the moment is considered insufficient. The need for educational institutes to be more aware of industry requirements for software engineering graduates and to tailor the curriculum and teaching and learning practice to better fulfil these has been recognized as critical to China's success. To assist with this the Emersion project was established in 2003 to attempt to exchange knowledge and expertise between the EU and China with the goal of developing an industry-oriented education model for software engineering in China. In this paper, we describe our experiences in developing the curriculum which is at the heart of this model and which is based on published best practice and experience of industry and academia in the EU and China","Excluded","Strongly Agree","POE1313"
"37","Educational Needs as Perceived by IS and End-User Personnel: A Survey of Knowledge and Skill Requirements","One of the fundamental issues inherent to both practice and academia emanates from the need to know what knowledge and skills personnel must possess to successfully perform their jobs. This article addresses this issue by performing an educational needs assessment, one that considers the deficiencies of both IS and end-user personnel. To this end, an instrument has been developed, tested, and completed by 275 employees within eight different organizations. The findings of this study suggest that among six different knowledge and skill areas, both IS and end-user personnel are most deficient in the area of “general IS knowledge” (e.g., IS policies and plans, fit between IS and organization, etc.). In addition, IS personnel appear to be in need of more “organizational knowledge” (e.g., organizational goals and objectives, critical success factors, etc.). End users, on the other hand, seem to require more IS-related skills (e.g., data access, use of software packages, etc.). The implications of these findings for practitioners and academicians focus on finding ways to improve the education and training programs currently in place.","Excluded","Somewhat Agree","OEI15813"
"38","Essence: A framework to help bridge the gap between software engineering education and industry needs","Given the time limit, software engineering courses in universities can only emphasize a particular development approach or method; therefore, it is challenging to prepare graduates to face the diverse range of approaches and methods used by industry. One of the issues software engineering education faces is the lack of a framework to understand and compare the similarities and differences among diverse practices used by different companies versus what students learn at school. Software Engineering Methods and Theory (SEMAT) is a new international initiative that bridges the gap among industry, education and research. SEMAT latest result is the submission to OMG standard, namely the Essence - Kernel and Language for Software Engineering. Instead of teaching diverse range of software engineering development methods, Essence provides a novel way of thinking of the different software development methods and approaches. This paper discusses the value of Essence to software engineering education and the preliminary feedback from university professors and lecturers.","Excluded","Somewhat Agree","MEL13591"
"39","Identifying essential competencies of software engineers","The knowledge and skills of software engineers are perhaps the most important factors in determining the success of software development. Thus, we seek to identify the professional competencies that are most essential. In the first phase of our research, we use the Critical Incident Interview technique to identify essential competencies. The Critical Incident Interview technique is a rigorous method for determining critical job requirements from structured interviews with workers. We use this technique in an in-depth review of 20 professional software engineers employed by a ma jor computer firm. Our review includes an evaluation of biographical and Critical Incidence Interview data for 10 exceptional and 10 non-exceptional sub jects. We also analyze competencies identified by software managers. We identify 38 essential competencies of software engineers. Differences between exceptional and non-exceptional sub jects were not expected in this first phase of our research. We studied exceptional and non-exceptional engineers to ensure that all competencies are uncovered. ","Excluded","Strongly Agree","AME13951"
"40","Knowledge and Skill Requirements for Entry-Level Information Technology Workers: A Comparison of Industry and Academia","Enrollments in Information Technology (IT)-related academic programs have declined significantly in recent years. Paradoxically, the U.S. Department of Labor predicts that the demand for IT professionals will grow much faster than the average for all occupations through the year 2016. To meet increasing demand, IT-related academic programs must attract more students and produce graduates who possess the technical, interpersonal and organizational knowledge and skills required of entry-level IT workers. The purpose of this study is to determine whether the importance of various skills for entry-level IT workers is perceived differently by faculty in academia than it is by IT managers in industry. The results reported in this paper are based upon a survey of the knowledge and skills required of entry-level IT workers as perceived by 350 IT managers and 78 faculty teaching in IT-related academic programs. Finally, implications of the survey results for faculty teaching in IT-related disciplines and for ongoing IT-related curriculum development, as well as implications for IT managers, are discussed.","Excluded","Neither agree nor disagree","BOA13592"
"41","Knowledge and Skill Requirements for Entry-Level IT Workers: A Longitudinal Study","This paper provides an updated view of the importance of various skills and traits for entry-level IT workers, as perceived by the IT industry, based on a web-based survey administered to IT managers nationwide. The work presented in this paper is na extension of two previous studies based on a survey conducted in 2006. A new survey was conducted in 2010 that consisted of 48 skills and traits including personal and interpersonal skills, as well as technical skills. This study finds that the top 12 skills and traits for entry-level IT workers are personal and interpersonal skills with honesty and integrity ranked most highly. The top 5 technical skills have not changed considerably in the past five years. They are operating systems, security, hardware, networking, and database, which have been part of the IT core curriculum for many years. Based on the analysis of the survey, several recommendations for curricula for IT-related degree programs are provided.","Excluded","Somewhat disagree","IEL61369"
"42","Learn from practice: defining an alternative model for software engineering education in Mexican universities for reducing the breach between industry and …","Nowadays, advancements in education, research and software development are increasing in a considerable way, but each part is doing it independently. This problem generates that software enterprises spend a lot of money in the formation of young personnel, because Universities do not include in their curriculums topics related to Industry necessities. At this moment, there is an increasing interest at global level focused on developing alternative educative models oriented to Software Engineering and improving the acquisition of experiences and abilities within real projects. Brazil, India, United States of America, Japan, Australia and Thailand are creating initiatives in this context. The results of their research will enable them to find future solutions for fomenting and improving the software industry. This paper aims to show the basis of a dynamic model to align the objectives and necessities of Mexican software industry with the real offer from Universities who teach the discipline. This will make sure that industry gets the suitable talent (appropriate skills and capabilities) and students get suitable opportunities to work within the software industry.","Excluded","Strongly disagree","OEO59138"
"43","Meeting graduate employability needs through open-source collaboration with industry","This paper describes the development and delivery of a course, in close collaboration with industry, over a ten-year period. We describe the details of this collaboration, which aims to equip students with collaborative software development experience, incorporating open source, Enterprise Middleware technologies and industry best practices. In presenting our case study we share valuable insights, into the challenges and opportunities, for all parties involved. We present the reflections of all stakeholders, including; the course leader, the industrial partner, lab demonstrators, and students. We also present the results of our investigations to track the employment of our graduates over the last five years, identifying that all students who responded are employed within relevant positions or undertaking further study. Based on our successful delivery of the course, in this paper we make all tools and teaching materials available to the open source community, for delivery at other institutions. We emphasise the importance of the continued involvement of industry partners to inform pedagogical practices within Computer Science.","Excluded","Strongly Agree","MOM19381"
